Sensor_ID,Timestamp,Raw_Value,Auth_Signature
SENSOR_D,1000,22.5,fake_signature_0
SENSOR_D,1001,53.77,8b6f2fd6d1a5a8d1c17ad56254bbd5b2a8e87595f27b7fc569f8d689cdab1067
SENSOR_A,1002,78.39,1f667f472f8d636a26be8a1dcfde1db7f916fa94e3346d710338dc600ebdaf8e
SENSOR_D,1003,31.64,e3dc589ed2ade8b0f3a83c31650054901c67ceff4229c81117f8472ecd4aa52b
SENSOR_D,1004,69.81,5be8cc0cb9780c7a336b2809c2038c90b8c72dd70ce1ae6727ef7503d0e1390c
SENSOR_D,1005,25.02,fake_signature_5
SENSOR_B,1006,41.59,1398cab8f70aded2d90cdacf16215d5ff6c628ddd25057010d70a16cc969750e
SENSOR_A,1007,49.71,c44334d967f8bf713073b24f2bcf256dc0a31bb4883cf5703722206911874bbc
SENSOR_B,1008,78.7,9e842227e53aa92eccbd5c68d204b6adf23e2c1ddbd9e7cc3fc98f24bde82562
SENSOR_D,1009,29.48,7d92321d38dbbdb70903fad6b180eeb11f216da07f3a69468fb6a46f5b0b1394
SENSOR_A,1010,77.95,16f06f4a753b8dda59bdec8ca064dc396115fdef4b82bc77958f1cb747f44961
SENSOR_D,1011,78.91,008c1f0a32296d43c0a15fafda82e5afe27bfa5d99911b5dc3c667d333d46735
SENSOR_D,1012,70.98,fake_signature_12
SENSOR_A,1013,74.01,7a8cd3b746946c3d854e1b95929ebace52ba7ed5335300720f1df70c48da5b37
SENSOR_C,1014,20.43,4394b23bfb16067b0fd1e9f94693476b44a310ec4ed2db0a342172afc8884a54
SENSOR_B,1015,75.55,8e3fecbe6d9eba86850f5cc0c51eb0342c74fade8fc7beb4f0ae3390a723af29
SENSOR_C,1016,65.3,6fbfda32502dab90a79304ae6aa7cb79a6b8570fb9bab72184ada030cb6fcdf3
SENSOR_A,1017,77.95,16f06f4a753b8dda59bdec8ca064dc396115fdef4b82bc77958f1cb747f44961
SENSOR_C,1018,26.49,03cecdc8792a323b12c3687018fad40129539a712a986ea9a764314b492cabd5
SENSOR_A,1019,64.19,ef75677810568ddf2bf92311114dbb7687a6007824d007220bd3f91252a21983
SENSOR_B,1020,65.11,fe66df7486257bd70746ac3df14a5172d49aa80f8582a6d97434385ce6343d3f
SENSOR_A,1021,60.73,359f5f11a87a1c856539a8e7b72790074baa85d3a234213644ba54f4088e6c07
SENSOR_A,1022,39.22,f464e8b87ccb7460d502bb0af31355fdd79f910e624eaa3bbcb5c09696477169
SENSOR_B,1023,50.29,fake_signature_23
SENSOR_C,1024,57.11,eb30389eedad327ba0e6e229b948ef44ea656b58db35d10ed9573a3769e45852
SENSOR_B,1025,49.29,fake_signature_25
SENSOR_D,1026,33.53,f648db7c1a2a855e59ca4408df80afcd96583fb76d86f113a2f3c1449424429c
SENSOR_C,1027,36.04,b2676fa86c514b338415fb2cfdb88b3fe0a5af64f6593360c285bc284c047b29
SENSOR_B,1028,28.98,ec15cc70090c69643c63a650f75658dfae8c8a1a4c2d55f682267da6a48dfbf3
SENSOR_A,1029,51.03,b8b163920c7c4c3759787092a41a5d4d9581acb38341ab728df0f2fbe12c0c77
SENSOR_C,1030,46.18,fake_signature_30
SENSOR_D,1031,38.07,fake_signature_31
SENSOR_A,1032,49.43,f252a2e2cf00264b6513da2f9ce16eb9a94ae702004c3e7e673a3d40fa93ec7c
SENSOR_A,1033,35.29,fake_signature_33
SENSOR_C,1034,58.05,0f799bbd6ce965ba1c79729b5bc87779d1dbe1aefbe0c4a8162e6c429d7d83be
